Date : 2021-10-19 13:59:23
Directory : /home/doug/C-Game
Total : 182 files,  30639 codes, 12593 comments, 4806 blanks, all 48038 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| src/engine/vendor/cglm/simd/avx                                                          |          2 |         82 |         32 |         30 |        144 |
| src/engine/vendor/cglm/simd/neon                                                         |          4 |        311 |        123 |        109 |        543 |
| src/engine/vendor/cglm/simd/sse2                                                         |          5 |        428 |        163 |        141 |        732 |
| src/engine/vendor/cglm/struct                                                            |         34 |      3,556 |      4,722 |        705 |      8,983 |
| src/engine/vendor/cglm/struct/clipspace                                                  |         12 |        768 |      1,268 |        180 |      2,216 |
| src/game                                                                                 |          3 |        353 |         31 |         57 |        441 |
| src/game/scenes                                                                          |          2 |        316 |         31 |         48 |        395 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                 | language     | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /home/doug/C-Game/README.md                                                              | Markdown     |          1 |          0 |          1 |          2 |
| /home/doug/C-Game/build.sh                                                               | Shell Script |          3 |          0 |          0 |          3 |
| /home/doug/C-Game/build/.cmake/api/v1/query/client-vscode/query.json                     | JSON         |          1 |          0 |          0 |          1 |
| /home/doug/C-Game/build/.cmake/api/v1/reply/codemodel-v2-a87e6493d3a9fed0a39c.json       | JSON         |         59 |          0 |          1 |         60 |
| /home/doug/C-Game/build/.cmake/api/v1/reply/index-2021-10-19T12-57-25-0184.json          | JSON         |         94 |          0 |          1 |         95 |
| /home/doug/C-Game/build/.cmake/api/v1/reply/target-CGame-Debug-6e0a315defb4063c5885.json | JSON         |      1,183 |          0 |          1 |      1,184 |
| /home/doug/C-Game/build/CMakeFiles/3.16.3/CMakeCCompiler.cmake                           | CMake        |         60 |          0 |         17 |         77 |
| /home/doug/C-Game/build/CMakeFiles/3.16.3/CMakeCXXCompiler.cmake                         | CMake        |         70 |          0 |         19 |         89 |
| /home/doug/C-Game/build/CMakeFiles/3.16.3/CMakeSystem.cmake                              | CMake        |         10 |          0 |          6 |         16 |
| /home/doug/C-Game/build/CMakeFiles/3.16.3/CompilerIdC/CMakeCCompilerId.c                 | C            |        507 |         50 |        115 |        672 |
| /home/doug/C-Game/build/CMakeFiles/3.16.3/CompilerIdCXX/CMakeCXXCompilerId.cpp           | C++          |        496 |         52 |        113 |        661 |
| /home/doug/C-Game/build/CMakeFiles/CGame.dir/DependInfo.cmake                            | CMake        |         35 |          0 |          4 |         39 |
| /home/doug/C-Game/build/CMakeFiles/CGame.dir/cmake_clean.cmake                           | CMake        |         21 |          0 |          2 |         23 |
| /home/doug/C-Game/build/CMakeFiles/CMakeDirectoryInformation.cmake                       | CMake        |         12 |          0 |          5 |         17 |
| /home/doug/C-Game/build/CMakeFiles/CMakeOutput.log                                       | Log          |        423 |          0 |         39 |        462 |
| /home/doug/C-Game/build/Makefile                                                         | Makefile     |        298 |         79 |        162 |        539 |
| /home/doug/C-Game/core.h                                                                 | C++          |         16 |          1 |          6 |         23 |
| /home/doug/C-Game/launch.sh                                                              | Shell Script |          3 |          0 |          0 |          3 |
| /home/doug/C-Game/src/engine/shaders/defaultFragShader.glsl                              | GLSL         |         13 |          0 |          4 |         17 |
| /home/doug/C-Game/src/engine/shaders/defaultVertexShader.glsl                            | GLSL         |         14 |          9 |          5 |         28 |
| /home/doug/C-Game/src/engine/src/blocks/block.c                                          | C            |         35 |          0 |          7 |         42 |
| /home/doug/C-Game/src/engine/src/blocks/block.h                                          | C++          |         25 |          1 |          3 |         29 |
| /home/doug/C-Game/src/engine/src/blocks/blockTextures.c                                  | C            |         36 |          0 |          4 |         40 |
| /home/doug/C-Game/src/engine/src/blocks/blockTextures.h                                  | C++          |          4 |          0 |          2 |          6 |
| /home/doug/C-Game/src/engine/src/camera.c                                                | C            |         62 |          0 |         10 |         72 |
| /home/doug/C-Game/src/engine/src/camera.h                                                | C++          |         17 |          0 |          2 |         19 |
| /home/doug/C-Game/src/engine/src/chunk.c                                                 | C            |         25 |          0 |          0 |         25 |
| /home/doug/C-Game/src/engine/src/chunk.h                                                 | C++          |          9 |          0 |          3 |         12 |
| /home/doug/C-Game/src/engine/src/core.h                                                  | C++          |         17 |          1 |          6 |         24 |
| /home/doug/C-Game/src/engine/src/input.c                                                 | C            |         34 |          0 |          9 |         43 |
| /home/doug/C-Game/src/engine/src/input.h                                                 | C++          |         16 |          0 |          4 |         20 |
| /home/doug/C-Game/src/engine/src/render.c                                                | C            |        198 |         97 |         35 |        330 |
| /home/doug/C-Game/src/engine/src/render.h                                                | C++          |         16 |          1 |          2 |         19 |
| /home/doug/C-Game/src/engine/src/shaderProgram.c                                         | C            |        103 |          3 |          9 |        115 |
| /home/doug/C-Game/src/engine/src/shaderProgram.h                                         | C++          |         11 |          0 |          2 |         13 |
| /home/doug/C-Game/src/engine/src/stb_image.c                                             | C            |          2 |          0 |          0 |          2 |
| /home/doug/C-Game/src/engine/src/texture.c                                               | C            |         33 |          3 |          4 |         40 |
| /home/doug/C-Game/src/engine/src/texture.h                                               | C++          |         13 |          3 |          3 |         19 |
| /home/doug/C-Game/src/engine/src/window.c                                                | C            |         29 |          1 |         11 |         41 |
| /home/doug/C-Game/src/engine/src/window.h                                                | C++          |          6 |          0 |          4 |         10 |
| /home/doug/C-Game/src/engine/vendor/GLAD/include/KHR/khrplatform.h                       | C++          |        106 |        156 |         29 |        291 |
| /home/doug/C-Game/src/engine/vendor/GLAD/include/glad/glad.h                             | C++          |      5,133 |         20 |         17 |      5,170 |
| /home/doug/C-Game/src/engine/vendor/cglm/affine-mat.h                                    | C++          |        101 |         55 |         23 |        179 |
| /home/doug/C-Game/src/engine/vendor/cglm/affine.h                                        | C++          |        225 |        195 |         51 |        471 |
| /home/doug/C-Game/src/engine/vendor/cglm/affine2d.h                                      | C++          |        132 |        105 |         32 |        269 |
| /home/doug/C-Game/src/engine/vendor/cglm/applesimd.h                                     | C++          |         57 |         22 |         17 |         96 |
| /home/doug/C-Game/src/engine/vendor/cglm/bezier.h                                        | C++          |         75 |         60 |         20 |        155 |
| /home/doug/C-Game/src/engine/vendor/cglm/box.h                                           | C++          |        133 |        117 |         32 |        282 |
| /home/doug/C-Game/src/engine/vendor/cglm/call.h                                          | C++          |         31 |          6 |          4 |         41 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/affine.h                                   | C++          |         82 |          7 |         29 |        118 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/affine2d.h                                 | C++          |         46 |          6 |         16 |         68 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/bezier.h                                   | C++          |         19 |          6 |          7 |         32 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/box.h                                      | C++          |         55 |          6 |         19 |         80 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/cam.h                                      | C++          |        100 |          6 |         28 |        134 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/clipspace/ortho_lh_no.h                    | C++          |         31 |          6 |         10 |         47 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/clipspace/ortho_lh_zo.h                    | C++          |         31 |          6 |         10 |         47 |
